0	Why is the government not listening to the business people of this country & actually stopping this ridiculous thing called #Brexit.. it will go down in history as an embarrassment to this country.
0	Clever name. That is all.
0	It will be a good lesson never to entrust the rabble with giving their opinions on topics that demand expertise and experience.
1	It was the will of the people; it should be done. And if she can't or won't do it properly, Theresa May has got to go.
1	It is an absurd another referendum on the same shit. People already decided, you cucks!
0	I understand why people felt the way they did, but it’s not helpful to anyone.
0	I think we have embarrassed ourselves and that whatever the outcome, this country is going to be a less pleasant one.
0	Remain. I have a full range of economic, political and social arguments for remaining a member of the EU. But, it all boils down to - I don't want to live on a planet where Nigel Farage is right.
1	I like the people making laws that I have to abide by to be accountable to me and the rest of the public. We haven't yet been allowed to veto any of the laws the EU puts through, and we don't get a vote on who runs the EU. It's a dictatorship with less fewer executions.
0	I feel the leave campaign is purely built on a combination of speculation and bullshit. Remain on the other hand relies on information we have, and we all live in at the moment- which really isn't that bad.
1	I don't feel comfortable with the idea that people that were not elected by the people of my country can make laws that govern my country and be unaccountable for any effects as a result of these laws. It seems very undemocratic, if not anti-democratic.
1	I want our laws to be decided in Westminster not Brussels
1	I don't really like the idea of eurocrats in brussels deciding my future. I have found it amazing seeing friends on Facebook shout passionately about how voting In is the only choice and that believing anything other that that makes me an idiot racist. I have found the In campaign to be the vocal minority. I turn on sky news and it is just seems to be pushing doom and gloom for the UK economy if we leave. The current government just seems to be pushing fear and I am really bored of it.
0	Given that we do so much trade with the countries of the EU I think it's in our national interest to have a say in how the EU is run.
1	I'm voting Leave to escape the United States of Europe, recession be damned. If the economy was such a sacred cow we'd never go into war or subsidise unsustainable industry.
1	There is a little benefit to staying in and Brussels has shown they don't give a fuck about compromises. Only sensible option if you actually want to help our country.
1	I am tired of the EU being able to create our laws and regulations, being told what we can and can not do.
1	The EU is a anti-democratic, bureaucratic monstrosity that only serves itself. It is filled with failed politicians who are paid huge sums of money to do nothing but fill their pockets. The only thing we need in Europe is free trade. Brussels in its current form needs to go down.
1	Restore Britain's national sovereignty and parliamentary democracy
1	I don't want to be ruled by an unelected elite in a federal europe
1	When the first major terror attacks hit Britain due to the fact terrorists can freely enter while pretending to be migrants, then people's opinions will change.
1	You can't put a price on sovereignty.
0	It's bad enough I have to live with a Tory Government. I don't fancy living with an unregulated Tory Government. I value my human rights too much for that.
0	Any financial forecast is guesswork from either side. I think you've got to Base this on what sort of person you want to be, insular and fearful of outsiders and collaboration, or open and willing to help and work with others. I also do think you have to look at who is campaigning on either side, if you want to align yourself with Nigel Farrage and Michael Gove then you get what you deserve.
1	I still believe it will be the best for the country in the long run. It's also interesting to see how the lies on both sides of the campaign are coming to light.
0	So after being turned down for citizenship on grounds of insufficient evidence of integration into life in the uk (teacher & headteacher for 14 years) now my application for settled status can’t go through. 3 attempts and each time the website crashes!
0	This is one of the things I find frustrating about the arguments for #Brexit. The #EU is so much more than just trade. It's social & cultural cooperation for peace & prosperity. I used to work on EU funded research. We're throwing it all away for no benefit. Brexit is pointless.
